carrec,r2013,dieta,dietes,retribucio,total,nom,dept,detalls,naut,danual,column,column2,carrec2
| Oficina de Supervisió i Avaluació de La Contractació Pública,,,,"€76,270.38","€76,270.38","Pitarch Albos, Teresa Ma,",PR,2014,,,,,Oficina de Supervisió i Avaluació de La Contractació Pública
| Cap de l’Oficina de Relacions Institucionals,,,,"€56,941.19","€56,941.19","Pitarch Casas, Lluís",PO,2014,,,,,Cap de l’Oficina de Relacions Institucionals
Jurat Expropiació Tarragona | Vocals titulars,10,108,"€1,080.00",,"€1,080.00","Plana Sola, Joan",GO,,108,1080,,,Vocals titulars
Comissió Territorial d’Urbanisme de Girona. Ponència Tècnica | Vocal Col·legi d’Enginyers Industrials de Catalunya,8,64.91,€519.28,,€519.28,"Planas Bartolí, Joan",PO,,64.91,519.28,,,Vocal Col·legi d’Enginyers Industrials de Catalunya
Hospital Clinic i Provincial de Barcelona Comissió Permanent | Vocal,7,440,"€3,080.00",,"€3,080.00","Planas Miret, Ivan",SA,,440,3080,,,Vocal
Hospital Clinic i Provincial de Barcelona Junta de Patronat | Vocal,2,440,€880.00,,€880.00,"Planas Miret, Ivan",SA,,440,880,,,Vocal
Institut Català de la Salut Comissió Executiva del Consell d'Administració | Vocal,10,378,"€3,780.00",,"€3,780.00","Planas Miret, Ivan",SA,,378,3780,,,Vocal
Institut Català de la Salut Consell d'Administració,5,378,"€1,890.00",,"€1,890.00","Planas Miret, Ivan",SA,,378,1890,,,
"Sistema d'Emergencies Mèdiques, SA",6,189.31,"€1,135.86",,"€1,135.86","Planas Miret, Ivan",SA,OJO 2013,189.31,1135.86,,,
| Director general d’Anàlisi i Seguiment de les Finances Públiques,,,,"€76,270.38","€76,270.38","Planas Miret, Ivan",EC,2014,,,,,Director general d’Anàlisi i Seguiment de les Finances Públiques
Comissió Territorial d’Urbanisme de la Vall d’Aran | Vocal Director de l’Oficina Tècnica d’Urbanisme del Conselh Generau d’Aran,4,64.91,€259.64,,€259.64,"Playà Hernández, Xavier",PO,,64.91,259.64,,,Vocal Director de l’Oficina Tècnica d’Urbanisme del Conselh Generau d’Aran
Comissió Territorial d’Urbanisme de la Vall d’Aran. Ponència Tècnica | Vocal Director de l’Oficina Tècnica d’Urbanisme del Conselh Generau d’Aran,4,64.91,€259.64,,€259.64,"Playà Hernández, Xavier",PO,,64.91,259.64,,,Vocal Director de l’Oficina Tècnica d’Urbanisme del Conselh Generau d’Aran
"Comissió de Política Territorial i Urbanisme de Catalunya | Vocal  Director General d’Arxius, Biblioteques i Patrimoni del Departament de Cultura",4,64.91,€259.64,,€259.64,"Pluma Vilanova, Joan",PO,,64.91,259.64,,,"Vocal  Director General d’Arxius, Biblioteques i Patrimoni del Departament de Cultura"
Comissió de Cooperació Local de Catalunya | Vocals titulars Generalitat,3,37.86,€113.58,,€113.58,"Pluma Vilanova, Joan",GO,,37.86,113.58,,,Vocals titulars Generalitat
"| Director General D.G. d'Arxius, Bibiioteques, Museus i Patrimoni",,,,"€76,270.38","€76,270.38","Pluma Vilanova, Joan",CU,2014,,,,,"Director General D.G. d'Arxius, Bibiioteques, Museus i Patrimoni"
Comissió de Cooperació Local de Catalunya | Vocals titulars Adm. Locals,3,37.86,€113.58,,€113.58,"Poblet Tous, Josep",GO,,37.86,113.58,,,Vocals titulars Adm. Locals
Consell Català de I'FP | Titular,12,37.86,€454.32,,€454.32,"Poch Ros, Cesc",EN,,37.86,454.32,,,Titular
Consell Assessor de la Institució de les Lletres Catalanes | Vocal representant de l'Associació Internacional de Llengua i Literatura Catalanes,2,59.5,€119.00,,€119.00,"Pons Griera, Lidia",CU,,59.5,119,,,Vocal representant de l'Associació Internacional de Llengua i Literatura Catalanes
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona. Ponència Tècnica | Tècnica Arquitecta del Servei Territorial d’Urbanisme de l’Àrea Metropolitana de Barcelona del Departament de Territori i Sostenibilitat,8,64.91,€519.28,,€519.28,"Pons Mascases, Maria",PO,64.91,No autoritza publicació,519.28,,,Tècnica Arquitecta del Servei Territorial d’Urbanisme de l’Àrea Metropolitana de Barcelona del Departament de Territori i Sostenibilitat
Comissió Territorial d’Urbanisme de Barcelona | Vocal Alcalde de l’Ajuntament de Subirats,8,64.91,€519.28,,€519.28,"Pons Vendrell, Pere",PO,,64.91,519.28,,,Vocal Alcalde de l’Ajuntament de Subirats
Comissió de Política Territorial i Urbanisme de Catalunya | Vocal Alcalde de l’Ajuntament de Subirats,4,64.91,€259.64,,€259.64,"Pons Vendrell, Pere",PO,,64.91,259.64,,,Vocal Alcalde de l’Ajuntament de Subirats
| Cap de l'Oficina de Protocol,,,,"€56,941.19","€56,941.19","Ponsa Castro, F. Xavier",IT,2013,,,,,Cap de l'Oficina de Protocol
Comissió Territorial d’Urbanisme de la Catalunya Central | Vocal titular Associació Catalana de Municipis i Comarques Regidor de l’Ajuntament d’Igualada,8,64.91,€519.28,,€519.28,"Pont Gassó, Jordi",PO,,64.91,519.28,,,Vocal titular Associació Catalana de Municipis i Comarques Regidor de l’Ajuntament d’Igualada
Comissió de Cooperació Local de Catalunya | Vocals suplents Adm. Locals,3,37.86,€113.58,,€113.58,"Pont Jordana, Xavier",GO,,37.86,113.58,,,Vocals suplents Adm. Locals
| Director de l'Institut per al Desenvolupament i Promoció de l'Alt Pirineu i,,,,"€68,382.47","€68,382.47","Porta Colom, Pere Josep",PO,2014,,,,,Director de l'Institut per al Desenvolupament i Promoció de l'Alt Pirineu i
Jurat Expropiació Lleida | Vocals titulars,20,108,"€2,160.00",,"€2,160.00","Porta Vicente, M. Carmen",GO,Dept Cultura,108,2160,,,Vocals titulars
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona | Vocal Regidor de l’Ajuntament de Barcelona,8,64.91,€519.28,,€519.28,"Portabella Calvete, Jordi",PO,64.91,No autoritza publicació,519.28,,,Vocal Regidor de l’Ajuntament de Barcelona
| Responsable de L'oficina de L'expresident,,,,"€90,788.38","€90,788.38",Potau Vallverdui Sonia,PR,2014,,,,,Responsable de L'oficina de L'expresident
| Cap de l'Of'ıcina de Relacions Institucionals,,,,"€56,941.19","€56,941.19","Pou Hervàs, Georgina",BE,2013,,,,,Cap de l'Of'ıcina de Relacions Institucionals
Consell de Govern del Consorci Port de Portbou | Vocal (Membre de la Junta Directiva del Club Nàutic Portbou),4,28.5,€114.00,,€114.00,"Pous Chiva, Jaume",PO,,28.5,114,,,Vocal (Membre de la Junta Directiva del Club Nàutic Portbou)
Comitè Executiu de l’Autoritat del Transport Metropolità (ATM) | Vocal (Vicepresident de Transport i Mobilitat de l'AMB),5,0,€0.00,,€0.00,"Poveda Zapata, Antoni",PO,,renúncia,0,,,Vocal (Vicepresident de Transport i Mobilitat de l'AMB)
Consell d’Administració de Ferrocarrils de la Generalitat de Catalunya | Conseller/a (Vicepresident de Transport i Mobilitat de l'AMB),4,0,€0.00,,€0.00,"Poveda Zapata, Antoni",PO,,RENUNCIA A LA DIETA,0,,,Conseller/a (Vicepresident de Transport i Mobilitat de l'AMB)
Consell d’Administració de l’Autoritat del Transport Metropolità (ATM) | Vicepresident segon (Vicepresident de Transport i Mobilitat de l'AMB),5,0,€0.00,,€0.00,"Poveda Zapata, Antoni",PO,,RENUNCIA A LA DIETA,0,,,Vicepresident segon (Vicepresident de Transport i Mobilitat de l'AMB)
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona | Alcalde de l’Ajuntament de Sant Joan Despí,8,0,€0.00,,€0.00,"Poveda Zapata, Antoni",PO,64.91,RENUNCIA A LA DIETA,0,,,Alcalde de l’Ajuntament de Sant Joan Despí
Junta Arbitral del Transport de Catalunya. Tarragona | Vocal Representant de l’Administració (Serveis Territorials a Tarragona del Departament de Territori i Sostenibilitat),10,64.91,€649.10,,€649.10,"Prado Abril, Carlos _x000c_",PO,,64.91,649.1,,,Vocal Representant de l’Administració (Serveis Territorials a Tarragona del Departament de Territori i Sostenibilitat)
Consell d’Administració de Ferrocarrils de la Generalitat de Catalunya | Conseller/a (Director General de la Policia del Departament d’Interior),4,386.75,"€1,547.00",,"€1,547.00","Prat Pelàez, Manuel",PO,,386.75,1547,,,Conseller/a (Director General de la Policia del Departament d’Interior)
| Director General de la Policia,,,,"€79,651.66","€79,651.66","Prat Pelàez, Manuel",IT,2013,,,,,Director General de la Policia
Institut Català d'Energia (ICAEN)  | Vocal Consell Administracio (Subdirector General d'lnfraestructures de Transport Terrestre del D TES),5,251.52,"€1,257.60",,"€1,257.60","Prat Soto, David ",IU,,251.52,1257.6,,,Vocal Consell Administracio (Subdirector General d'lnfraestructures de Transport Terrestre del D TES)
Consell Escolar Catalunya Ple i Comissions | Membre,8,43.27,€346.16,,€346.16,"Prat Tomás, Pere",EN,,43.27,346.16,,,Membre
Comissió Directora ICQP | Membre,2,37.86,€75.72,,€75.72,"Prats Llopart, Josep",EN,,37.86,75.72,,,Membre
Consell Català de I'FP | Titular,12,37.86,€454.32,,€454.32,"Prats Llopart, Josep",EN,,37.86,454.32,,,Titular
Comissió d'assessorament i supervisió de les persones jurídiques sense ànim de lucre que tinguin atribuïda la tutela de menors o incapacitats | Vocal,1,60.54,€60.54,,€60.54,"Prats Malràs, Anna",BE,en representació de l'agrupac'ıó d'entitats tutelars per a persones amb malaltia mental (ENCAIX),60.54,60.54,,,Vocal
Consell Escolar Catalunya Ple i Comissions | Membre,17,43.27,€735.59,,€735.59,"Prats Moreno, Josep Manuel",EN,,43.27,735.59,,,Membre
Consell d'Administració d’Infraestructures Ferroviàries de Catalunya (IFERCAT)  | Vocal (Subdirectora General de Gestió Econòmica i Administració del Departament de Territori i Sostenibilitat),12,378,"€4,536.00",,"€4,536.00","Prió Miravet, Rosa",PO,,378,4536,,,Vocal (Subdirectora General de Gestió Econòmica i Administració del Departament de Territori i Sostenibilitat)
Comissió de Govern local de Catalunya | Vocals,8,48.68,€389.44,,€389.44,"Prohias Ricart, Teresa",GO,,48.68,389.44,,,Vocals
Com Delimitació Temtonal | Vocals titulars,3,43.2,€129.60,,€129.60,"Prohias Ricart, Teresa",GO,,43.2,129.6,,,Vocals titulars
Comissió de Cooperació Local de Catalunya | Vocals suplents Generalitat,3,37.86,€113.58,,€113.58,"Prohias Ricart, Teresa",GO,,37.86,113.58,,,Vocals suplents Generalitat
| Director/a de Serveis,,,,"€76,270.38","€76,270.38","Prohias Ricart, Teresa",PR,2014,,,,,Director/a de Serveis
"Institut Català de Finances, Consell Assessor | Vocal",2,270,€540.00,,€540.00,"Prunera Colomer, Marcel",EC,,270,540,,,Vocal
| Delegat/ada Del Govern de La Generalitat Davant La Unió Europea,,,,"€76,270.38","€76,270.38","Puig Anglada, Pere",PR,2014,,,,,Delegat/ada Del Govern de La Generalitat Davant La Unió Europea
Consell d’Administració de Centrals i Infraestructures per a la Mobilitat i les Activitats Logístiques (CIMALSA) | Vocal (Advocat),4,300,"€1,200.00",,"€1,200.00","Puig Bordas, Oriol",PO,,300,1200,,,Vocal (Advocat)
Consell d’Administració del Servei Meteorològic de Catalunya | Vicepresident (Director del Servei Meteorològic de Catalunya),2,216,€432.00,,€432.00,"Puig Bordas, Oriol",PO,,216,432,,,Vicepresident (Director del Servei Meteorològic de Catalunya)
Institut d’Estadística de Catalunya (Idescat). Consell Català d’Estadística  | Vocal,1,64.91,€64.91,,€64.91,"Puig Casado, Pere",EC,,64.91,64.91,,,Vocal
Comissió Territorial d’Urbanisme de Tarragona | Vocal amb veu i sense vot Director dels Serveis Territorials del Departament de Territori i Sostenibilitat a Tarragona,8,64.91,€519.28,,€519.28,"Puig Casañas, Cesar",PO,,64.91,519.28,,,Vocal amb veu i sense vot Director dels Serveis Territorials del Departament de Territori i Sostenibilitat a Tarragona
Comissió de Cooperació Local de Catalunya | Vocals suplents Generalitat,3,37.86,€113.58,,€113.58,"Puig Casañas, Cesar",GO,,Pendent autorització,113.58,,,Vocals suplents Generalitat
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat (CTTI) | President del Consell  (Titular del Departament EMO),11,573.3,"€6,306.30",,"€6,306.30","Puig Godes, Felip",IU,,573.3,6306.3,,,President del Consell  (Titular del Departament EMO)
"Empresa de Promoció i Localització Industrial de Catalunya, SA (Avançsa) | President Consell d'Adminislració(Titular EMO)",11,378.64,"€4,165.04",,"€4,165.04","Puig Godes, Felip",IU,,378.64,4165.04,,,President Consell d'Adminislració(Titular EMO)
Institut Català d'Energia (ICAEN)  | President Consell d'Administració (Tıtular EMO),5,251.52,"€1,257.60",,"€1,257.60","Puig Godes, Felip",IU,,251.52,1257.6,,,President Consell d'Administració (Tıtular EMO)
| Conseller d'Empresa i Ocupació,,,,"€103,176.36","€103,176.36","Puig Godes, Felip",IU,2014,,,,,Conseller d'Empresa i Ocupació
"| Director General D.G. de Cultura Popular, Associacionisme iAcció Culturals",,,,"€76,270.38","€76,270.38","Puig Gordi, Lluís",CU,2014,,,,,"Director General D.G. de Cultura Popular, Associacionisme iAcció Culturals"
| Director/a General de Relacions Institucionals i Amb El Parlament,,,,"€76,270.38","€76,270.38","Puig Roig, Miguel",GO,2013,,,,,Director/a General de Relacions Institucionals i Amb El Parlament
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona. Ponència Tècnica | Vocal Directora del Sector Dos Costa Ponent del Servei Català de la Salut del  Departament de Salut,8,64.91,€519.28,,€519.28,"Puig Rosés, Núria",PO,64.91,No autoritza publicació,519.28,,,Vocal Directora del Sector Dos Costa Ponent del Servei Català de la Salut del  Departament de Salut
| Assessor/a En Polítiques Sectorials Transversals,,,,"€68,746.49","€68,746.49","Puigdollers Noblom, Francesc Xavier",GO,2013,,,,,Assessor/a En Polítiques Sectorials Transversals
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat (CTTI) | Vocal Consell d'Administració (Titular de la Direcció Gral. de Telecomunicacions) ,11,573.3,"€6,306.30",,"€6,306.30","Puigneró Ferrer, Jordi",IU,,573.3,6306.3,,,Vocal Consell d'Administració (Titular de la Direcció Gral. de Telecomunicacions) 
Consell d'Administració Institut Català de les Empreses Culturals | Director General de Telecomunicacions i Societat de la Informació,6,162,€972.00,,€972.00,"Puigneró Ferrer, Jordi",CU,,162,972,,,Director General de Telecomunicacions i Societat de la Informació
Consell General Institut Català de les Empreses Culturals | Director General de Telecomunicacions i Societat de la Informació,2,162,€324.00,,€324.00,"Puigneró Ferrer, Jordi",CU,,162,324,,,Director General de Telecomunicacions i Societat de la Informació
| Director General de Telecomunicacions i Societat de la Informació,,,,"€76,270.35","€76,270.35","Puigneró Ferrer, Jordi",IU,2014,,,,,Director General de Telecomunicacions i Societat de la Informació
Junta Arbitral del Transport de Catalunya. Girona | Secretària Cap del Negociat de Sancions dels Serveis Territorials a Girona del Departament de Territori i Sostenibilitat,40,64.91,"€2,596.40",,"€2,596.40","Puigvert Molas, Eulalia",PO,,64.91,2596.4,,,Secretària Cap del Negociat de Sancions dels Serveis Territorials a Girona del Departament de Territori i Sostenibilitat
Memorial Democràtic - Consell Assessor | Membre,2,251.52,€503.04,,€503.04,"Puigvert Solà, Joaquim",GO,,251.52,503.04,,,Membre
Comissió Territorial d’Urbanisme de Girona. Ponència Tècnica | Vocal Federació de Municipis de Catalunya,8,64.91,€519.28,,€519.28,"Pujol Badà, Esteve",PO,,64.91,519.28,,,Vocal Federació de Municipis de Catalunya
Memorial Democràtic - Junta de Govern | Membre,2,251.52,€503.04,,€503.04,"Pujol Casademont, Enric",GO,,251.52,503.04,,,Membre
Com. Delimitació Territorial | Vocals titulars,3,43.2,€129.60,,€129.60,"Pujol Casals, Marti",GO,,43.2,129.6,,,Vocals titulars
Comissió de Cooperació Local de Catalunya | Vocals titulars Adm. Locals,3,37.86,€113.58,,€113.58,"Pujol Casals, Marti",GO,,37.86,113.58,,,Vocals titulars Adm. Locals
Consell Assessor de Ports de la Generalitat | Vocal (Representant de la Cambra de Comerç de Barcelona),3,167.68,€503.04,,€503.04,"Pujol Huguet, Amadeu",PO,,167.68,503.04,,,Vocal (Representant de la Cambra de Comerç de Barcelona)
| Oficina de Protocol,,,,"€56,941.19","€56,941.19","Puyo Collet, Eva",PR,2014,,,,,Oficina de Protocol
"Infraestructures de la Generalitat de Catalunya, SAU, Consell d’Administració | President",12,627.45,"€7,529.40",,"€7,529.40","Quer Cumsille, Joan Lluís",EC,,627.45,7529.4,,,President
Consell d'Administració d’Infraestructures Ferroviàries de Catalunya (IFERCAT)  | President  (President d’IFERCAT),12,378,"€4,536.00",,"€4,536.00","Quer Cumsille, Joan Lluís",PO,,378,4536,,,President  (President d’IFERCAT)
"Comissió Territorial d’Urbanisme de Barcelona. Ponència Tècnica | Vocal de lliure designació, amb veu i sense vot Consell General de Cambres de Catalunya",8,64.91,€519.28,,€519.28,"Quera Comas, Marcel",PO,64.91,No autoritza publicació,519.28,,,"Vocal de lliure designació, amb veu i sense vot Consell General de Cambres de Catalunya"
| Director/a Del Consell Assessor Desenvolupament Sostenible,,,,"€76,270.38","€76,270.38","Queralt Bassa, Arnau",PR,2014,,,,,Director/a Del Consell Assessor Desenvolupament Sostenible
| Responsable de L'oficina Del/de La Delegat/ada,,,,"€59,931.45","€59,931.45","Quintana Pujol, Susanna",PR,2014,,,,,Responsable de L'oficina Del/de La Delegat/ada
| Secretaria Del President,,,,"€60,243.06","€60,243.06","Quinzaños De Visa, Reis",PR,2014,,,,,Secretaria Del President
| Cap del Gabinet del Conseller,,,,"€68,746.49","€68,746.49","Rabasa Benavent, Iban",AG,2013,,,,,Cap del Gabinet del Conseller
Comissió de Política Territorial i Urbanisme de Catalunya | Vocal de lliure designació,4,64.91,€259.64,,€259.64,"Ràfols Esteve, Joan",PO,,64.91,259.64,,,Vocal de lliure designació
Comissió Territorial d’Urbanisme de la Catalunya Central | Vocal titular Associació Catalana de  Municipis i Comarques Regidor de l’Ajuntament de Vic,8,64.91,€519.28,,€519.28,"Rafús Isern, Josep",PO,,64.91,519.28,,,Vocal titular Associació Catalana de  Municipis i Comarques Regidor de l’Ajuntament de Vic
Consell Assessor de RTVE a Catalunya | Vocal,23,221.77,"€5,100.71",,"€5,100.71","Ramentol Massana, Santiago",PR,,221.77,5100.71,,,Vocal
Autoritat Catalana de Protecció de dades - Consell Assessor | Vocal,4,64.91,€259.64,,€259.64,"Ramírez Martin, Miguel",GO,,64.91,259.64,,,Vocal
Consell Escolar Catalunya Ple i Comissions | Membre,8,43.27,€346.16,,€346.16,"Ramírez Roma, Josep",EN,,43.27,346.16,,,Membre
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona | Vocal Responsable de Seguiment de Relacions amb el Territori  de l’Oficina del President i Coordinació Interdepartamental del Departament de la Presidència,8,64.91,€519.28,,€519.28,"Raventos Pujado, Joan",PO,,64.91,519.28,,,Vocal Responsable de Seguiment de Relacions amb el Territori  de l’Oficina del President i Coordinació Interdepartamental del Departament de la Presidència
Comissió Territorial d’Urbanisme de l’Àmbit Metropolità de Barcelona. Ponència Tècnica | Vocal Responsable de Seguiment de Relacions amb el Territori  de l’Oficina del President i Coordinació Interdepartamental del Departament de la Presidència,8,64.91,€519.28,,€519.28,"Raventos Pujado, Joan",PO,,64.91,519.28,,,Vocal Responsable de Seguiment de Relacions amb el Territori  de l’Oficina del President i Coordinació Interdepartamental del Departament de la Presidència
| Responsable de Seguiment de Relacions Amb El Territori,,,,"€68,746.49","€68,746.49","Raventos Pujado, Joan",PR,2014,,,,,Responsable de Seguiment de Relacions Amb El Territori
Jurat Expropiació Barcelona | President,28,270,"€7,560.00",,"€7,560.00","Rebes Sole, Josep Enric",GO,,270,7560,,,President
"Consell d’Administració de l’Autoritat del Transport Metropolità (ATM) | Vocal (Segona Tinenta d'Alcalde d'Economia, Empresa i Ocupació de l’Ajuntament de Barcelona)",5,325.8,"€1,629.00",,"€1,629.00","Recasens Alsina, Sonia",PO,,325.8,1629,,,"Vocal (Segona Tinenta d'Alcalde d'Economia, Empresa i Ocupació de l’Ajuntament de Barcelona)"
Consell Escolar Catalunya Ple i Comissions | Membre,8,43.27,€346.16,,€346.16,"Recasens Benito, Oriol",EN,,43.27,346.16,,,Membre
Consell General Institut Català de les Empreses Culturals | Director General de Comerç,2,162,€324.00,,€324.00,"Recasens Soriano, Josep Maria",CU,,162,324,,,Director General de Comerç
Comissió de Preus de Catalunya  | President (Director general de Comerç - EMO),9,51.39,€462.51,,€462.51,"Recasens Soriano, Josep Maria",IU,,51.39,462.51,,,President (Director general de Comerç - EMO)
| Director General de Comerç,,,,"€76,270.35","€76,270.35","Recasens Soriano, Josep Maria",IU,2014,,,,,Director General de Comerç
Consell Superior d'AvaIuació del Sistema Educatiu | Vocal expert,5,43.27,€216.35,,€216.35,"Redon Verdaguer, Carme",EN,,43.27,216.35,,,Vocal expert
Jurat Expropiació Tarragona | Vocals suplents,10,108,"€1,080.00",,"€1,080.00","Rehues Estivill, Francesc Xavier",GO,,108,1080,,,Vocals suplents
Comissió Territorial d’Urbanisme de Terres de l’Ebre | Director  Cap del Servei Territorial d'Urbanisme de les Terres de l'Ebre del Departament de Territori i Sostenibilitat a les Terres de l’Ebre,5,64.91,€324.55,,€324.55,"Rehues Estivill, Francesc Xavier",PO,,64.91,324.55,,,Director  Cap del Servei Territorial d'Urbanisme de les Terres de l'Ebre del Departament de Territori i Sostenibilitat a les Terres de l’Ebre
Comissió Territorial d’Urbanisme de Terres de l’Ebre. Ponència Tècnica | Director  Cap del Servei Territorial d'Urbanisme de les Terres de l'Ebre del Departament de Territori i Sostenibilitat a les Terres de l’Ebre,5,64.91,€324.55,,€324.55,"Rehues Estivill, Francesc Xavier",PO,,64.91,324.55,,,Director  Cap del Servei Territorial d'Urbanisme de les Terres de l'Ebre del Departament de Territori i Sostenibilitat a les Terres de l’Ebre
| Cap de I'Oficina de la Secretaria de la Consellera,,,,"€76,270.38","€76,270.38","Reig Casassas, Antoni",BE,2013,,,,,Cap de I'Oficina de la Secretaria de la Consellera
Comissió Territorial d’Urbanisme de Lleida. Ponència Tècnica | Tècnic assessor Arquitecte dels Serveis Territorials del Departament de Territori i Sostenibilitat a Lleida,8,64.91,€519.28,,€519.28,"Reig Masana, Ramon",PO,,64.91,519.28,,,Tècnic assessor Arquitecte dels Serveis Territorials del Departament de Territori i Sostenibilitat a Lleida
| Adjunt al Cap de Gabinet del Conseller,,,,"€56,941.19","€56,941.19","Reinaldos Martinez, Francesc Xavier",IU,2014,,,,,Adjunt al Cap de Gabinet del Conseller
Comissió de Política Territorial i Urbanisme de Catalunya | Vocal Col·legi d’Aparelladors i Arquitectes Tècnics de Catalunya,4,64.91,€259.64,,€259.64,"Remolà Ferrer, Mª Rosa",PO,64.91,No autoritza publicació,259.64,,,Vocal Col·legi d’Aparelladors i Arquitectes Tècnics de Catalunya
Comissió de Cooperació Local de Catalunya | Vocals titulars Adm. Locals,3,37.86,€113.58,,€113.58,"Rene Huguet, Joan",GO,,37.86,113.58,,,Vocals titulars Adm. Locals
Comissió de Política Territorial i Urbanisme de Catalunya | Vocal Col·legi d’Enginyers,4,64.91,€259.64,,€259.64,"Renom Satorra, Jordi",PO,64.91,No autoritza publicació,259.64,,,Vocal Col·legi d’Enginyers
COMISSIÓ DE CONTROL DELS DISPOSITIUS DE VIDEOVIGILÀNCIA DE CATALUNYA | Vocal Municipis,6,54.09,€324.54,,€324.54,"Revilla, Eugènia",IT,,54.09,324.54,,,Vocal Municipis
Consell Escolar Catalunya Ple i Comissions | Membre,12,43.27,€519.24,,€519.24,"Rey Abella, Mercè",EN,,43.27,519.24,,,Membre
Comissió Territorial d’Urbanisme de Barcelona | Vocal,8,64.91,€519.28,,€519.28,"Reyna Benabarre, Enric",PO,64.91,No autoritza publicació,519.28,,,Vocal
Comissió de Cooperació Local de Catalunya | Vocals suplents Adm. Locals,3,37.86,€113.58,,€113.58,"Riba Bayo, Jaume",GO,,37.86,113.58,,,Vocals suplents Adm. Locals
Consell d’Administració de l’Agència de l’Habitatge de Catalunya | Secretària no consellera (Cap dels Serveis Jurídics de l’Agència de l'Habitatge de Catalunya),4,440.84,"€1,763.36",,"€1,763.36","Ribas Algueró, Immaculada",PO,,440.84,1763.36,,,Secretària no consellera (Cap dels Serveis Jurídics de l’Agència de l'Habitatge de Catalunya)
Consell d'Administració del Centre d'lnserció i Rehabiıitacıó (cıRE) | Vocal,2,378,€756.00,,€756.00,"Ribas Algueró, Teresa",JU,,378,756,,,Vocal
| Directora de l'Agència Tributària de Catalunya,,,,"€76,270.38","€76,270.38","Ribas Algueró, Teresa",EC,2014,,,,,Directora de l'Agència Tributària de Catalunya
Institut Català d'Energia (ICAEN)  | Vocal Consell Administració (Subdirector general de Planificació i Projectes del D TES) .,5,251.52,"€1,257.60",,"€1,257.60",Ribas Domingo. Santiago,IU,,251.52,1257.6,,,Vocal Consell Administració (Subdirector general de Planificació i Projectes del D TES) .
Comissió Territorial d’Urbanisme de Girona | Vocal Regidor de l’Ajuntament de Girona,8,64.91,€519.28,,€519.28,"Ribas Gironés, Carles",PO,64.91,No autoritza publicació,519.28,,,Vocal Regidor de l’Ajuntament de Girona
Consell d’Administració de l’Agencia Catalana de l’Aigua | Vocal (Representant de la Associació Agrària de Joves Agricultors),4,551.72,"€2,206.88",,"€2,206.88","Ribas Vila, Josep",PO,551.72,No autoritza la publicació,2206.88,,,Vocal (Representant de la Associació Agrària de Joves Agricultors)
Comissió Territorial d’Urbanisme de Girona | Vocal,8,64.91,€519.28,,€519.28,"Ribera Frontera, Josep",PO,64.91,No autoritza publicació,519.28,,,Vocal
Comissió Territorial d’Urbanisme de la Catalunya Central. Ponència Tècnica | Vocal  Arquitecte del Col·legi d’Arquitectes de Catalunya,8,64.91,€519.28,,€519.28,"Ribera Mestres, Joan",PO,,64.91,519.28,,,Vocal  Arquitecte del Col·legi d’Arquitectes de Catalunya
Consell Assessor de Ports de la Generalitat | Vocal (Representant de la Cambra de Comerç de Palamós),3,167.68,€503.04,,€503.04,"Ribera Serra, Xavier",PO,,167.68,503.04,,,Vocal (Representant de la Cambra de Comerç de Palamós)
Comissió Assessora sobre la Publicitat Institucional | Vocal,3,246.11,€738.33,,€738.33,"Ribes Guardia, Xavier",PR,,246.11,738.33,,,Vocal
Consell Rector Escola d'Administració Pública de Catalunya | Vocal,2,94.66,€189.32,,€189.32,"Ricart Marti, Encarnació",GO,,94.66,189.32,,,Vocal
| Cap del Gabinet del Conseller,,,,"€68,746.49","€68,746.49","Ridao Martin, Lluis",IU,2014,,,,,Cap del Gabinet del Conseller
| Secretària General,,,,"€49,535.87","€49,535.87","Riera Bruguera, Marla",BE,2013,,,,,Secretària General
| Consellera d'Ensenyament,,,,"€103,176.35","€103,176.35","Rigau Oliver, Irene",EN,2013,,,,,Consellera d'Ensenyament
Comissió Territorial d’Urbanisme de Terres de l’Ebre. Ponència Tècnica | Vocal Coordinador Tècnic del Serveis Territorials del Departament d’Empresa i Ocupació a les Terres de l’Ebre,5,64.91,€324.55,,€324.55,"Rima Gilabert, Josep",PO,64.91,No autoritza publicació,324.55,,,Vocal Coordinador Tècnic del Serveis Territorials del Departament d’Empresa i Ocupació a les Terres de l’Ebre
COMISSIÓ DE CONTROL DELS DISPOSITIUS DE VIDEOVIGILÀNCIA DE CATALUNYA | Vocal Generalitat,6,54.09,€324.54,,€324.54,"Riu Fortuny,ramon",IT,,54.09,324.54,,,Vocal Generalitat
Comissió Territorial d’Urbanisme de Lleida. Ponència Tècnica | Vocal Col·legi d’Economistes de Catalunya,8,64.91,€519.28,,€519.28,"Riu Vila, Josep Mª",PO,64.91,No autoritza publicació,519.28,,,Vocal Col·legi d’Economistes de Catalunya
